"Year","Units","Sex","WorkingPattern","AgeGroup","WorkRegion","Occupation","Industry","Ethnicity","Impairment","Value","comment"
"2016","Median","Total","Total","Total","Total","Total","Total","Total","Total","23084","Total"
"2016","Median","Total","Total","18-21","Total","Total","Total","Total","Total","9392","Total"
"2016","Median","Total","Total","22-29","Total","Total","Total","Total","Total","20010","Total"
"2016","Median","Total","Total","30-39","Total","Total","Total","Total","Total","25550","Total"
"2016","Median","Total","Total","40-49","Total","Total","Total","Total","Total","26297","Total"
"2016","Median","Total","Total","50-59","Total","Total","Total","Total","Total","24641","Total"
"2016","Median","Total","Total","60+","Total","Total","Total","Total","Total","18235","Total"
"2016","Median","Male","Total","Total","Total","Total","Total","Total","Total","28376","Total"
"2016","Median","Male","Total","18-21","Total","Total","Total","Total","Total","11322","Total"
"2016","Median","Male","Total","22-29","Total","Total","Total","Total","Total","22198","Total"
"2016","Median","Male","Total","30-39","Total","Total","Total","Total","Total","29742","Total"
"2016","Median","Male","Total","40-49","Total","Total","Total","Total","Total","33178","Total"
"2016","Median","Male","Total","50-59","Total","Total","Total","Total","Total","31846","Total"
"2016","Median","Male","Total","60+","Total","Total","Total","Total","Total","23932","Total"
"2016","Median","Female","Total","Total","Total","Total","Total","Total","Total","17957","Total"
"2016","Median","Female","Total","18-21","Total","Total","Total","Total","Total","7677","reasonably precise"
"2016","Median","Female","Total","22-29","Total","Total","Total","Total","Total","17771","Total"
"2016","Median","Female","Total","30-39","Total","Total","Total","Total","Total","20491","Total"
"2016","Median","Female","Total","40-49","Total","Total","Total","Total","Total","19277","Total"
"2016","Median","Female","Total","50-59","Total","Total","Total","Total","Total","18600","Total"
"2016","Median","Female","Total","60+","Total","Total","Total","Total","Total","12867","Total"
"2016","Median","Total","Full-Time","Total","Total","Total","Total","Total","Total","28195","Total"
"2016","Median","Total","Full-Time","18-21","Total","Total","Total","Total","Total","14743","Total"
"2016","Median","Total","Full-Time","22-29","Total","Total","Total","Total","Total","22812","Total"
"2016","Median","Total","Full-Time","30-39","Total","Total","Total","Total","Total","29698","Total"
"2016","Median","Total","Full-Time","40-49","Total","Total","Total","Total","Total","31773","Total"
"2016","Median","Total","Full-Time","50-59","Total","Total","Total","Total","Total","30352","Total"
"2016","Median","Total","Full-Time","60+","Total","Total","Total","Total","Total","25997","Total"
"2016","Median","Total","Part-Time","Total","Total","Total","Total","Total","Total","9616","Total"
"2016","Median","Total","Part-Time","18-21","Total","Total","Total","Total","Total","5259","reasonably precise"
"2016","Median","Total","Part-Time","22-29","Total","Total","Total","Total","Total","8958","Total"
"2016","Median","Total","Part-Time","30-39","Total","Total","Total","Total","Total","10559","Total"
"2016","Median","Total","Part-Time","40-49","Total","Total","Total","Total","Total","10400","Total"
"2016","Median","Total","Part-Time","50-59","Total","Total","Total","Total","Total","10358","Total"
"2016","Median","Total","Part-Time","60+","Total","Total","Total","Total","Total","8874","Total"
"2016","Median","Male","Full-Time","Total","Total","Total","Total","Total","Total","30550","Total"
"2016","Median","Male","Full-Time","18-21","Total","Total","Total","Total","Total","15418","Total"
"2016","Median","Male","Full-Time","22-29","Total","Total","Total","Total","Total","23660","Total"
"2016","Median","Male","Full-Time","30-39","Total","Total","Total","Total","Total","30946","Total"
"2016","Median","Male","Full-Time","40-49","Total","Total","Total","Total","Total","34703","Total"
"2016","Median","Male","Full-Time","50-59","Total","Total","Total","Total","Total","33585","Total"
"2016","Median","Male","Full-Time","60+","Total","Total","Total","Total","Total","28604","Total"
"2016","Median","Male","Part-Time","Total","Total","Total","Total","Total","Total","9270","Total"
"2016","Median","Male","Part-Time","18-21","Total","Total","Total","Total","Total","5639","reasonably precise"
"2016","Median","Male","Part-Time","22-29","Total","Total","Total","Total","Total","9176","reasonably precise"
"2016","Median","Male","Part-Time","30-39","Total","Total","Total","Total","Total","10405","Total"
"2016","Median","Male","Part-Time","40-49","Total","Total","Total","Total","Total","10178","Total"
"2016","Median","Male","Part-Time","50-59","Total","Total","Total","Total","Total","10408","Total"
"2016","Median","Male","Part-Time","60+","Total","Total","Total","Total","Total","9810","Total"
"2016","Median","Female","Full-Time","Total","Total","Total","Total","Total","Total","24831","Total"
"2016","Median","Female","Full-Time","18-21","Total","Total","Total","Total","Total","13787","Total"
"2016","Median","Female","Full-Time","22-29","Total","Total","Total","Total","Total","21606","Total"
