Year,Sex,WorkingPattern,AgeGroup,WorkRegion,Occupation,Industry,Value,comment
2016,Female,Full-time,16-17,,,,x,unacceptable
2016,Female,Full-time,18-21,,,,13787,
2016,Female,Full-time,22-29,,,,21606,
2016,Female,Full-time,30-39,,,,27435,
2016,Female,Full-time,40-49,,,,27084,
2016,Female,Full-time,50-59,,,,25476,
2016,Female,Full-time,60+,,,,21910,
2016,Female,Full-time,,East,Administrative and secretarial occupations,,21073,
2016,Female,Full-time,,East,Associate professional and technical occupations,,26956,
2016,Female,Full-time,,East,"Caring, leisure and other service occupations",,16734,
2016,Female,Full-time,,East,Elementary occupations,,15028,
2016,Female,Full-time,,East,"Managers, directors and senior officials",,34540,reasonably precise
2016,Female,Full-time,,East,"Process, plant and machine operatives",,x,unacceptable
2016,Female,Full-time,,East,Professional occupations,,34311,
2016,Female,Full-time,,East,Sales and customer service occupations,,17575,
2016,Female,Full-time,,East,Skilled trades occupations,,20862,reasonably precise
2016,Female,Full-time,,East,,,24189,
2016,Female,Full-time,,East Midlands,Administrative and secretarial occupations,,19623,
2016,Female,Full-time,,East Midlands,Associate professional and technical occupations,,25514,reasonably precise
2016,Female,Full-time,,East Midlands,"Caring, leisure and other service occupations",,16679,
2016,Female,Full-time,,East Midlands,Elementary occupations,,15000,reasonably precise
2016,Female,Full-time,,East Midlands,"Managers, directors and senior officials",,30629,acceptable
2016,Female,Full-time,,East Midlands,"Process, plant and machine operatives",,17127,
2016,Female,Full-time,,East Midlands,Professional occupations,,32378,reasonably precise
2016,Female,Full-time,,East Midlands,Sales and customer service occupations,,17164,
2016,Female,Full-time,,East Midlands,Skilled trades occupations,,18505,reasonably precise
2016,Female,Full-time,,East Midlands,,,21593,
2016,Female,Full-time,,London,Administrative and secretarial occupations,,26620,
2016,Female,Full-time,,London,Associate professional and technical occupations,,33174,
2016,Female,Full-time,,London,"Caring, leisure and other service occupations",,19675,
2016,Female,Full-time,,London,Elementary occupations,,16176,reasonably precise
2016,Female,Full-time,,London,"Managers, directors and senior officials",,50918,
2016,Female,Full-time,,London,"Process, plant and machine operatives",,23207,acceptable
2016,Female,Full-time,,London,Professional occupations,,39439,
2016,Female,Full-time,,London,Sales and customer service occupations,,19971,
2016,Female,Full-time,,London,Skilled trades occupations,,x,unacceptable
2016,Female,Full-time,,London,,,32151,
2016,Female,Full-time,,North East,Administrative and secretarial occupations,,20140,
2016,Female,Full-time,,North East,Associate professional and technical occupations,,25640,reasonably precise
2016,Female,Full-time,,North East,"Caring, leisure and other service occupations",,16236,
2016,Female,Full-time,,North East,Elementary occupations,,14842,reasonably precise
2016,Female,Full-time,,North East,"Managers, directors and senior officials",,30000,acceptable
2016,Female,Full-time,,North East,"Process, plant and machine operatives",,x,unacceptable
2016,Female,Full-time,,North East,Professional occupations,,33211,
2016,Female,Full-time,,North East,Sales and customer service occupations,,17063,
2016,Female,Full-time,,North East,Skilled trades occupations,,17140,acceptable
2016,Female,Full-time,,North East,,,22452,
2016,Female,Full-time,,North West,Administrative and secretarial occupations,,20518,
2016,Female,Full-time,,North West,Associate professional and technical occupations,,26854,
2016,Female,Full-time,,North West,"Caring, leisure and other service occupations",,15985,
2016,Female,Full-time,,North West,Elementary occupations,,14815,
2016,Female,Full-time,,North West,"Managers, directors and senior officials",,32324,reasonably precise
2016,Female,Full-time,,North West,"Process, plant and machine operatives",,17831,reasonably precise
2016,Female,Full-time,,North West,Professional occupations,,33644,
2016,Female,Full-time,,North West,Sales and customer service occupations,,17608,
2016,Female,Full-time,,North West,Skilled trades occupations,,17402,reasonably precise
2016,Female,Full-time,,North West,,,23463,
2016,Female,Full-time,,Northern Ireland,,,24602,
2016,Female,Full-time,,Scotland,Administrative and secretarial occupations,,20607,
2016,Female,Full-time,,Scotland,Associate professional and technical occupations,,27070,
2016,Female,Full-time,,Scotland,"Caring, leisure and other service occupations",,18116,
2016,Female,Full-time,,Scotland,Elementary occupations,,15008,reasonably precise
2016,Female,Full-time,,Scotland,"Managers, directors and senior officials",,33403,reasonably precise
2016,Female,Full-time,,Scotland,"Process, plant and machine operatives",,18356,reasonably precise
2016,Female,Full-time,,Scotland,Professional occupations,,35264,
2016,Female,Full-time,,Scotland,Sales and customer service occupations,,17320,
2016,Female,Full-time,,Scotland,Skilled trades occupations,,17186,reasonably precise
