"Year","Units","Sex","WorkingPattern","AgeGroup","WorkRegion","Occupation","Industry","Ethnicity","Impairment","Value","comment"
"2016","Median","Total","Total","Total","","Total","Total",NA,NA,"23084","Total"
"2016","Median","Total","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2016","Median","Total","Total","18-21","","Total","Total",NA,NA,"9392","Total"
"2016","Median","Total","Total","22-29","","Total","Total",NA,NA,"20010","Total"
"2016","Median","Total","Total","30-39","","Total","Total",NA,NA,"25550","Total"
"2016","Median","Total","Total","40-49","","Total","Total",NA,NA,"26297","Total"
"2016","Median","Total","Total","50-59","","Total","Total",NA,NA,"24641","Total"
"2016","Median","Total","Total","60+","","Total","Total",NA,NA,"18235","Total"
"2016","Median","Male","Total","Total","","Total","Total",NA,NA,"28376","Total"
"2016","Median","Male","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2016","Median","Male","Total","18-21","","Total","Total",NA,NA,"11322","Total"
"2016","Median","Male","Total","22-29","","Total","Total",NA,NA,"22198","Total"
"2016","Median","Male","Total","30-39","","Total","Total",NA,NA,"29742","Total"
"2016","Median","Male","Total","40-49","","Total","Total",NA,NA,"33178","Total"
"2016","Median","Male","Total","50-59","","Total","Total",NA,NA,"31846","Total"
"2016","Median","Male","Total","60+","","Total","Total",NA,NA,"23932","Total"
"2016","Median","Female","Total","Total","","Total","Total",NA,NA,"17957","Total"
"2016","Median","Female","Total","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2016","Median","Female","Total","18-21","","Total","Total",NA,NA,"7677","reasonably precise"
"2016","Median","Female","Total","22-29","","Total","Total",NA,NA,"17771","Total"
"2016","Median","Female","Total","30-39","","Total","Total",NA,NA,"20491","Total"
"2016","Median","Female","Total","40-49","","Total","Total",NA,NA,"19277","Total"
"2016","Median","Female","Total","50-59","","Total","Total",NA,NA,"18600","Total"
"2016","Median","Female","Total","60+","","Total","Total",NA,NA,"12867","Total"
"2016","Median","Total","Full-Time","Total","","Total","Total",NA,NA,"28195","Total"
"2016","Median","Total","Full-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
"2016","Median","Total","Full-Time","18-21","","Total","Total",NA,NA,"14743","Total"
"2016","Median","Total","Full-Time","22-29","","Total","Total",NA,NA,"22812","Total"
"2016","Median","Total","Full-Time","30-39","","Total","Total",NA,NA,"29698","Total"
"2016","Median","Total","Full-Time","40-49","","Total","Total",NA,NA,"31773","Total"
"2016","Median","Total","Full-Time","50-59","","Total","Total",NA,NA,"30352","Total"
"2016","Median","Total","Full-Time","60+","","Total","Total",NA,NA,"25997","Total"
"2016","Median","Total","Part-Time","Total","","Total","Total",NA,NA,"9616","Total"
"2016","Median","Total","Part-Time","16-17","","Total","Total",NA,NA,NA,"unacceptable"
